,x_left_wrist,y_left_wrist,x_left_elbow,y_left_elbow,x_left_shoulder,y_left_shoulder,x_right_wrist,y_right_wrist,x_right_elbow,y_right_elbow,x_right_shoulder,y_right_shoulder,waving
1,0.5973363,0.40384173,0.6072018,0.33194917,0.5870891,0.24769746,0.42199665,0.41640544,0.45070034,0.33456653,0.48154852,0.24850863,0
2,0.6115301,0.41592866,0.60553837,0.33865437,0.5851061,0.25167,0.41936284,0.4281311,0.44945714,0.33959156,0.4878316,0.24774715,0
3,0.6161486,0.41789734,0.6128761,0.3505766,0.58970284,0.2606484,0.42575788,0.427322,0.45847842,0.35415143,0.48901308,0.2593843,0
4,0.6068435,0.44299614,0.61196136,0.34606713,0.5987865,0.24784726,0.43490013,0.43414184,0.46374306,0.3465093,0.49197373,0.2462031,0
5,0.6011958,0.42117617,0.60743356,0.3293302,0.58886874,0.24484262,0.43939543,0.43012983,0.45792434,0.34218788,0.48851666,0.24631667,0
6,0.59869313,0.42737028,0.5967201,0.3383734,0.5769259,0.25001323,0.41672122,0.4519635,0.43326658,0.34299204,0.4704704,0.24305984,0
7,0.5913239,0.4205851,0.57887304,0.33468264,0.5551597,0.24316202,0.4154329,0.44216692,0.42462167,0.32857522,0.45255277,0.23846489,0
8,0.57481754,0.47211182,0.56033814,0.35694462,0.55460477,0.24217999,0.42586192,0.44893822,0.4223556,0.3352402,0.44640094,0.23228714,0
9,0.58358765,0.45624936,0.57148325,0.36234936,0.5676467,0.25784135,0.43887314,0.4449615,0.43198666,0.32105398,0.47496468,0.23211811,0
10,0.6073982,0.46170053,0.5940718,0.35685867,0.5973475,0.2558778,0.45417327,0.44572443,0.46863306,0.3449955,0.49992847,0.23370704,0
11,0.6297002,0.43563604,0.5973425,0.35165915,0.5994001,0.25290614,0.48776442,0.4301163,0.5018222,0.3363794,0.53901994,0.23839271,0
12,0.62873644,0.4524654,0.5986267,0.3646143,0.6074879,0.25112948,0.56731415,0.44818065,0.560036,0.35787582,0.5632212,0.22714451,0
13,0.6137422,0.44285744,0.5866361,0.35320133,0.6068387,0.22367752,0.6086169,0.44815475,0.5826062,0.35674345,0.5992544,0.22236937,0
14,0.6114381,0.4457985,0.594435,0.3384952,0.62807375,0.21952116,0.60358924,0.45505023,0.5844998,0.34458372,0.62311256,0.21677451,0
15,0.6596542,0.4365427,0.6195052,0.33268028,0.6430294,0.21779291,0.65243185,0.4437598,0.61996746,0.33178014,0.6391393,0.21381077,0
16,0.68930787,0.40985665,0.64546585,0.33597952,0.66733754,0.22443885,0.6918535,0.41835195,0.63787717,0.33824915,0.6559181,0.22219174,0
17,0.70603347,0.41331542,0.65471464,0.3370653,0.683463,0.22350758,0.7052555,0.41789776,0.65326244,0.34043813,0.681081,0.22437295,0
18,0.7023634,0.43530935,0.6812567,0.34056613,0.7021639,0.22597745,0.6894964,0.43487364,0.66799355,0.34592223,0.6906005,0.22395425,0
19,0.7299539,0.41989756,0.73613477,0.34025317,0.7453837,0.23886238,0.6811495,0.42694122,0.663989,0.3422075,0.68760633,0.22626421,0
20,0.74616086,0.43592542,0.74937737,0.3411461,0.76208115,0.24527709,0.6495564,0.42783558,0.63975656,0.33729464,0.6688373,0.2244637,0
21,0.7696841,0.43773374,0.7671654,0.33984065,0.75880975,0.24217385,0.6149656,0.44026777,0.6123709,0.33419383,0.6410202,0.2329112,0
22,0.7772697,0.42120308,0.78072107,0.31951672,0.75159544,0.22679728,0.5933263,0.4292557,0.6138983,0.33716518,0.63552636,0.24134092,0
23,0.7764168,0.42523342,0.7748973,0.318141,0.7481191,0.22650413,0.6064585,0.42753333,0.6381122,0.34710217,0.64865613,0.24740553,0
24,0.75838345,0.42710632,0.7697305,0.31629544,0.74321145,0.21448222,0.6490201,0.4077028,0.656493,0.33343488,0.6652565,0.23906629,0
25,0.73811233,0.4261667,0.7676369,0.30821222,0.74628514,0.20440182,0.68265235,0.42640278,0.671443,0.31717286,0.67253387,0.22823173,0
