,x_left_wrist,y_left_wrist,x_left_elbow,y_left_elbow,x_left_shoulder,y_left_shoulder,x_right_wrist,y_right_wrist,x_right_elbow,y_right_elbow,x_right_shoulder,y_right_shoulder,waving
0,0.5505608,0.2594633,0.6235465,0.33264798,0.59719235,0.25249094,0.48653024,0.3102725,0.49670082,0.3613697,0.50278574,0.28468755,0
1,0.5516405,0.260872,0.6155137,0.35136068,0.60596097,0.288027,0.5001067,0.28995073,0.48690578,0.3602267,0.49224743,0.29504883,0
2,0.5542762,0.2670508,0.61982965,0.34783837,0.60194874,0.2778909,0.4899783,0.2947907,0.5003358,0.38326085,0.4953878,0.29611906,0
3,0.5252512,0.27393204,0.5979072,0.34359926,0.5990545,0.2768649,0.4865006,0.29054707,0.49846363,0.36045456,0.47556162,0.2932355,0
4,0.43347546,0.2917773,0.49139422,0.30355614,0.5445275,0.26745796,0.4636495,0.29259998,0.519629,0.32109696,0.5635994,0.27274624,0
5,0.30729342,0.2667394,0.40599322,0.27065766,0.48426813,0.25960845,0.58185923,0.27748674,0.6172589,0.31949067,0.5981343,0.2890031,0
6,0.39492258,0.2608667,0.38954294,0.2720571,0.49689376,0.27321494,0.3990715,0.26127428,0.39161858,0.27198225,0.55756736,0.27928573,0
7,0.30404526,0.2700638,0.39940888,0.27219665,0.4988489,0.26959768,0.5155095,0.2671445,0.6383054,0.35759884,0.59112316,0.29593724,0
8,0.46152884,0.29203457,0.5203742,0.36891136,0.52669406,0.28405175,0.47656888,0.29684198,0.55783784,0.39252228,0.55911165,0.28821528,0
9,0.5084771,0.2941084,0.5833474,0.3372209,0.5919622,0.27046284,0.3977114,0.30384815,0.43468165,0.3322062,0.48826393,0.29026824,0
10,0.5720216,0.28455243,0.6525459,0.34140489,0.58149946,0.28195584,0.28683692,0.26279593,0.39359808,0.26711243,0.47270215,0.27083388,0
11,0.65097165,0.327111,0.6610956,0.33386955,0.5915377,0.2822155,0.29070547,0.26016766,0.400101,0.26751775,0.47794876,0.26466966,0
12,0.55798876,0.28052968,0.65654474,0.33693844,0.5898143,0.27185357,0.29521024,0.26350945,0.4005668,0.27199847,0.47732854,0.26612872,0
13,0.47784138,0.28901342,0.5842133,0.33398914,0.59865713,0.27411845,0.36248776,0.2876377,0.42861974,0.3287804,0.49023435,0.2919426,0
14,0.36372405,0.26867476,0.4417596,0.27967256,0.5104269,0.25518143,0.4991386,0.29140985,0.567086,0.3450237,0.5743584,0.26977512,0
15,0.2808463,0.27366346,0.39808163,0.27685508,0.47240397,0.256804,0.53874034,0.26737845,0.59618324,0.3729416,0.5814806,0.28727877,0
