,x,y,label,waving,,,,,,,,,,,,
102,0.28444844,0.28444844,5,0,,,,,,,,,,,,
103,0.29551953,0.29551953,6,0,,,,,,,,,,,,
104,0.4022784,0.4022784,7,0,,,,,,,,,,,,
105,0.3919822,0.3919822,8,0,,,,,,,,,,,,
106,0.51671505,0.51671505,9,0,,,,,,,,,,,,
107,0.30027875,0.30027875,10,0,,,,,,,,,,,,
108,0.28444844,0.28444844,5,0,,,,,,,,,,,,
109,0.29551953,0.29551953,6,0,,,,,,,,,,,,
110,0.4022784,0.4022784,7,0,,,,,,,,,,,,
111,0.3919822,0.3919822,8,0,,,,,,,,,,,,
112,0.51671505,0.51671505,9,0,,,,,,,,,,,,
113,0.30027875,0.30027875,10,0,,,,,,,,,,,,
114,0.28444844,0.28444844,5,0,,,,,,,,,,,,
115,0.29551953,0.29551953,6,0,,,,,,,,,,,,
116,0.4022784,0.4022784,7,0,,,,,,,,,,,,
117,0.3919822,0.3919822,8,0,,,,,,,,,,,,
118,0.51671505,0.51671505,9,0,,,,,,,,,,,,
119,0.30027875,0.30027875,10,0,,,,,,,,,,,,
120,0.28444844,0.28444844,5,0,,,,,,,,,,,,
121,0.29551953,0.29551953,6,0,,,,,,,,,,,,
122,0.4022784,0.4022784,7,0,,,,,,,,,,,,
123,0.3919822,0.3919822,8,0,,,,,,,,,,,,
124,0.51671505,0.51671505,9,0,,,,,,,,,,,,
125,0.30027875,0.30027875,10,0,,,,,,,,,,,,
126,0.28444844,0.28444844,5,0,,,,,,,,,,,,
127,0.29551953,0.29551953,6,0,,,,,,,,,,,,
128,0.4022784,0.4022784,7,0,,,,,,,,,,,,
129,0.3919822,0.3919822,8,0,,,,,,,,,,,,
130,0.51671505,0.51671505,9,0,,,,,,,,,,,,
131,0.30027875,0.30027875,10,0,,,,,,,,,,,,
132,0.28444844,0.28444844,5,0,,,,,,,,,,,,
133,0.29551953,0.29551953,6,0,,,,,,,,,,,,
134,0.4022784,0.4022784,7,0,,,,,,,,,,,,
135,0.3919822,0.3919822,8,0,,,,,,,,,,,,
136,0.51671505,0.51671505,9,0,,,,,,,,,,,,
137,0.30027875,0.30027875,10,0,,,,,,,,,,,,
138,0.28444844,0.28444844,5,0,,,,,,,,,,,,
139,0.29551953,0.29551953,6,0,,,,,,,,,,,,
140,0.4022784,0.4022784,7,0,,,,,,,,,,,,
141,0.3919822,0.3919822,8,0,,,,,,,,,,,,
142,0.51671505,0.51671505,9,0,,,,,,,,,,,,
143,0.30027875,0.30027875,10,0,,,,,,,,,,,,
144,0.28444844,0.28444844,5,0,,,,,,,,,,,,
145,0.29551953,0.29551953,6,0,,,,,,,,,,,,
146,0.4022784,0.4022784,7,0,,,,,,,,,,,,
147,0.3919822,0.3919822,8,0,,,,,,,,,,,,
148,0.51671505,0.51671505,9,0,,,,,,,,,,,,
149,0.30027875,0.30027875,10,0,,,,,,,,,,,,
150,0.28444844,0.28444844,5,0,,,,,,,,,,,,
151,0.29551953,0.29551953,6,0,,,,,,,,,,,,
152,0.4022784,0.4022784,7,0,,,,,,,,,,,,
153,0.3919822,0.3919822,8,0,,,,,,,,,,,,
154,0.51671505,0.51671505,9,0,,,,,,,,,,,,
155,0.30027875,0.30027875,10,0,,,,,,,,,,,,
156,0.28444844,0.28444844,5,0,,,,,,,,,,,,
157,0.29551953,0.29551953,6,0,,,,,,,,,,,,
158,0.4022784,0.4022784,7,0,,,,,,,,,,,,
159,0.3919822,0.3919822,8,0,,,,,,,,,,,,
160,0.51671505,0.51671505,9,0,,,,,,,,,,,,
161,0.30027875,0.30027875,10,0,,,,,,,,,,,,
162,0.28444844,0.28444844,5,0,,,,,,,,,,,,
163,0.29551953,0.29551953,6,0,,,,,,,,,,,,
164,0.4022784,0.4022784,7,0,,,,,,,,,,,,
165,0.3919822,0.3919822,8,0,,,,,,,,,,,,
166,0.51671505,0.51671505,9,0,,,,,,,,,,,,
167,0.30027875,0.30027875,10,0,,,,,,,,,,,,
168,0.28444844,0.28444844,5,0,,,,,,,,,,,,
169,0.29551953,0.29551953,6,0,,,,,,,,,,,,
170,0.4022784,0.4022784,7,0,,,,,,,,,,,,
171,0.3919822,0.3919822,8,0,,,,,,,,,,,,
172,0.51671505,0.51671505,9,0,,,,,,,,,,,,
173,0.30027875,0.30027875,10,0,,,,,,,,,,,,
